,reviewText,Positive,sentiment
21,best game ever buy awesome game whole wide world . :,1,"('Good', {'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.8519})"
22,best game could think of.i downloaded fav . character original pig.yay love,1,"('Good', {'neg': 0.0, 'neu': 0.338, 'pos': 0.662, 'compound': 0.9287})"
23,first angry bird . get in2 one 'll lea wanting angry bird season angry bird rio . 're fantastic ! ! ! ! ! ! ! !,1,"('Neutral', {'neg': 0.4, 'neu': 0.47, 'pos': 0.13, 'compound': -0.816})"
24,"first app installed onkindle fire , full color 7 '' multi-touch display , wi-fiwhich purchased recently amazon . angry bird ( free version ) work smoothly kindle fire.love smooth graphic ! responds perfectly ple",1,"('Neutral', {'neg': 0.153, 'neu': 0.592, 'pos': 0.255, 'compound': 0.5848})"
25,"full version except ad . one best free apps app store . io , free version like demo . better buy . save 99 cent exact thing paid version . recommend everyone . mu",1,"('Good', {'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.9678})"
26,game get . bad comment r stupid . app n't need wifi . like app lot free n't love angry bird ! ! !,1,"('Neutral', {'neg': 0.438, 'neu': 0.364, 'pos': 0.198, 'compound': -0.8048})"
27,go game ... love . find much better game,1,"('Good', {'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.7964})"
28,one best apps becase good time consuming game ever go becase wifi,1,"('Neutral', {'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.7964})"
29,"original anfry bird game work original kindle fire new hd version.new note - updated work new kindle fire hd . course happen bought paid version , n",1,"('Neutral', {'neg': 0.169, 'neu': 0.669, 'pos': 0.162, 'compound': -0.0516})"
30,"popular game 've hearing long time till friend dared download play . damned got addicted game . love much . turned husband game , . soon , 'll get son ,",1,"('Neutral', {'neg': 0.076, 'neu': 0.556, 'pos': 0.368, 'compound': 0.875})"
31,"keep busy time . really happy app , never ever problems.p.s.good luck green little booger !",1,"('Neutral', {'neg': 0.14, 'neu': 0.619, 'pos': 0.241, 'compound': 0.4224})"
32,physic based game perfect people age spend extra time mobile device . yet still offer challenge . work well kindle fire .,1,"('Neutral', {'neg': 0.098, 'neu': 0.612, 'pos': 0.29, 'compound': 0.5719})"
33,"seems popular kindle fire hand . lot fun free time plus graphic , nice .",1,"('Good', {'neg': 0.101, 'neu': 0.252, 'pos': 0.647, 'compound': 0.9186})"
34,much fun ! daughter vthis app iphone never realized much fun downloaded kindle fire . highly recommend getting app ... work great kindle fire !,1,"('Neutral', {'neg': 0.138, 'neu': 0.459, 'pos': 0.404, 'compound': 0.8828})"
35,"entertaining challenging game several level seek improvement . ad overrun , free , excellent program .",1,"('Good', {'neg': 0.0, 'neu': 0.326, 'pos': 0.674, 'compound': 0.926})"
36,"first time play angry bird don'tthink could better first impression ! , purchase every angry bird gamei get hand ! see 'fuss ' ! ! !",1,"('Neutral', {'neg': 0.332, 'neu': 0.424, 'pos': 0.245, 'compound': -0.5682})"
37,one first apps got kindle fire love playing . great passing time . ad n't bother small little box top right screen hardly notice . worth paying,1,"('Neutral', {'neg': 0.069, 'neu': 0.49, 'pos': 0.441, 'compound': 0.8974})"
38,1st app ever downloaded kindle fire love ! need wi-fi play ! think 's great app time-waster .,1,"('Neutral', {'neg': 0.097, 'neu': 0.446, 'pos': 0.457, 'compound': 0.8715})"
39,best game time come phone . would put snake old nokia brick .,1,"('Neutral', {'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369})"
40,"addictive . play hour . first game installed fire , played .",1,"('Neutral', {'neg': 0.197, 'neu': 0.41, 'pos': 0.393, 'compound': 0.34})"
41,"fun challenge , always try get three star , nice graphic gameplay , always good way kill time .",1,"('Neutral', {'neg': 0.188, 'neu': 0.4, 'pos': 0.412, 'compound': 0.5574})"
42,fun addictingso good u pay money itonly winner play game get ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1,"('Good', {'neg': 0.07, 'neu': 0.25, 'pos': 0.679, 'compound': 0.9212})"
43,fun game people say freeze n't work must many game 're . device,1,"('Neutral', {'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5423})"
44,"fun fun fun fun , keep busy . stop playing . challenging , game make angry , sometimes , win .",1,"('Good', {'neg': 0.178, 'neu': 0.162, 'pos': 0.66, 'compound': 0.9313})"
45,"high quality game . fast , crystal clear . amazing game popular , would free ! level accomplish become angry bird pro.~ jessie",1,"('Good', {'neg': 0.107, 'neu': 0.388, 'pos': 0.505, 'compound': 0.906})"
46,awesome & iexcl ; ! ! ! ! ! ! ! ' ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! x . ! & iexcl ; ! ! cgdixjcv dnjdxjx gcfjxcb fvcv hxgrdh,1,"('Neutral', {'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.7405})"
47,"watch ! addicting game , fun age ! good way kill time , waste time .",1,"('Neutral', {'neg': 0.38, 'neu': 0.329, 'pos': 0.291, 'compound': -0.4374})"
48,love game . fun age . cant wait till someone get tired get tablet play .,1,"('Neutral', {'neg': 0.133, 'neu': 0.413, 'pos': 0.454, 'compound': 0.7906})"
49,downloaded free version tween 's new kindle fire everyone ( age 9 74 ) blast playing game many level challenge . graphic sound great .,1,"('Neutral', {'neg': 0.086, 'neu': 0.538, 'pos': 0.376, 'compound': 0.7964})"
50,well 'm would call gamer game found addicting . make nut enough try fail .,1,"('Neutral', {'neg': 0.211, 'neu': 0.663, 'pos': 0.127, 'compound': -0.34})"
51,"say probably n't already know , unless 've living rock last year . work like champ kindle fire .",1,"('Neutral', {'neg': 0.114, 'neu': 0.619, 'pos': 0.267, 'compound': 0.4939})"
52,say ? ya ca n't improve perfection . great traveling time need relax .,1,"('Neutral', {'neg': 0.468, 'neu': 0.376, 'pos': 0.156, 'compound': -0.7002})"
53,angry bird space folding kindle fire ? jrdhdhdh fhd dud dvd dud db 's dhdjsbd fhdbfjs sjdddhdx dud dud,1,"('Bad', {'neg': 0.533, 'neu': 0.467, 'pos': 0.0, 'compound': -0.8934})"
54,"whenever probs operating game , keep get least 2 star ! help pas time , help keep mind active !",1,"('Neutral', {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.8264})"
55,first found angry bird n't think much played friend phone hooked . got ipod killed battery . husband bought kindle fire valentine day playing angry bird,1,"('Neutral', {'neg': 0.414, 'neu': 0.453, 'pos': 0.133, 'compound': -0.8894})"
56,first got angry bird ; loved could n't stop playing ! played whenever could . hard level take beat ; sometimes look walk-through pas . plenty level . completed level ; sto,1,"('Neutral', {'neg': 0.258, 'neu': 0.569, 'pos': 0.173, 'compound': -0.21})"
57,first played game hooked . would spend hour defeat pig . kid even hooked game .,1,"('Neutral', {'neg': 0.183, 'neu': 0.671, 'pos': 0.146, 'compound': -0.1531})"
58,"wait see say doctor , dmv , wife get done shopping",1,"('Neutral', {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0})"
59,"n't enjoy classic game angry bird , tv show use game . friend 's teach took opossum away started playing angry bird . lol",1,"('Neutral', {'neg': 0.288, 'neu': 0.468, 'pos': 0.244, 'compound': -0.3459})"
60,n't like angrybirds ? paid version better n't annoying add . blocking shot !,1,"('Neutral', {'neg': 0.126, 'neu': 0.418, 'pos': 0.456, 'compound': 0.673})"
61,n't like angry bird ? love angry bird ! n't know anyone n't ! love angry bird ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1,"('Good', {'neg': 0.076, 'neu': 0.288, 'pos': 0.636, 'compound': 0.9482})"
62,n't love app . everyone family enjoys playing gamealways fun playing angrybirds hope theyp come upwith newbirds,1,"('Neutral', {'neg': 0.127, 'neu': 0.378, 'pos': 0.495, 'compound': 0.8286})"
63,"anyone hate ? wi-fi required ? need wi-fi download , complaining ? ad ? 're tiny ! bother ! ca n't download ? n't make game stupid.this best game time ! ! ! .... least , time",1,"('Neutral', {'neg': 0.285, 'neu': 0.596, 'pos': 0.119, 'compound': -0.703})"
64,people give low score add disruptive great free game get listen low score,1,"('Neutral', {'neg': 0.297, 'neu': 0.365, 'pos': 0.338, 'compound': 0.4404})"
65,"wish never downloaded game ! ! ! ! playing time ! ! ! ! sometimes get sooo 'angry ' one puzzle , continually go back .",1,"('Neutral', {'neg': 0.292, 'neu': 0.578, 'pos': 0.13, 'compound': -0.5204})"
66,work great kindle fire.it think second free app loaded work great still day._never one problem .,1,"('Neutral', {'neg': 0.107, 'neu': 0.437, 'pos': 0.456, 'compound': 0.8689})"
67,wow angry bird soooooooo fun expecialy kindle fire love love best game universe ! ! ! ! ! ! ! ! ! ! ! ! ! ! : - ) ) ) ) ) ) ) love g.sonnier,1,"('Good', {'neg': 0.151, 'neu': 0.185, 'pos': 0.664, 'compound': 0.9697})"
68,"wow , great . u people complain ? trust get . trust , 'm doctor ( far u know )",1,"('Good', {'neg': 0.109, 'neu': 0.261, 'pos': 0.63, 'compound': 0.9186})"
69,yes ad annoying free ! love launch bird pig . make feel giddy inside ha !,1,"('Good', {'neg': 0.176, 'neu': 0.286, 'pos': 0.538, 'compound': 0.8715})"
70,yes . looking game fire . . 's fun game play .,1,"('Good', {'neg': 0.162, 'neu': 0.27, 'pos': 0.568, 'compound': 0.7184})"
71,"yipee angry bird ! n't cell phone 've coveting game ever since niece showed play . thank offering new kindle fire hd , loving . 5 star .",1,"('Neutral', {'neg': 0.179, 'neu': 0.535, 'pos': 0.286, 'compound': 0.5255})"
72,play app day night . first day got completed half level ! stop reading reveiws buy !,1,"('Neutral', {'neg': 0.128, 'neu': 0.698, 'pos': 0.174, 'compound': 0.1984})"
73,get kill pig start cant stop im usually always buy else,1,"('Neutral', {'neg': 0.302, 'neu': 0.577, 'pos': 0.121, 'compound': -0.5875})"
74,"get fun ! person put 1star crazy . 'd really stupid n't get it.your wasting time reading , get app game !",1,"('Neutral', {'neg': 0.255, 'neu': 0.534, 'pos': 0.212, 'compound': -0.2776})"
75,"know full version say , quote , ad-free ? well , n't full version . free version . consider app ad deal - n't restrict certain amount level . 's , call ,",1,"('Neutral', {'neg': 0.162, 'neu': 0.683, 'pos': 0.154, 'compound': -0.0598})"
76,hooked addicted game.let say funnnn game able stop playing .. fun ! ! ! ! ( :,1,"('Neutral', {'neg': 0.134, 'neu': 0.486, 'pos': 0.381, 'compound': 0.6209})"
77,love game get . u gave game le five star rating would lunitic,1,"('Neutral', {'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369})"
78,call three next mario ? ? ? 'professional reviewer ' high ? ? ? ask fling bird bone . zero replay value .,0,"('Neutral', {'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.5204})"
79,"angry people book ! moron would waste time playing azimuth slingshot call cultural phenomenon ... word ( ? ? ? ) ... oh yes , moron ! ! ! 5 minute played thing still scar !",0,"('Neutral', {'neg': 0.373, 'neu': 0.446, 'pos': 0.181, 'compound': -0.8522})"
80,argry bird free play game kindlefirebecause free . play right .,0,"('Good', {'neg': 0.0, 'neu': 0.305, 'pos': 0.695, 'compound': 0.886})"
81,"cant stand game . love concept played many type . give developer credit creating ton level , keep going hour . sound irritating . constant chirp annoying heck , play soun",0,"('Neutral', {'neg': 0.247, 'neu': 0.491, 'pos': 0.262, 'compound': -0.12})"
82,n't really know point game . 's almost impossible knock stupid bird . waste time one ?,0,"('Neutral', {'neg': 0.331, 'neu': 0.669, 'pos': 0.0, 'compound': -0.7128})"
83,eden mine craft make apps buy able . eden mine fun fun fun . together stand strong apps come come . let fight eden mine craft pocket addition . let go strike ! ! ! madden.no freedem apps ! ! ! ! ! ! ! ! ! ! ! !,0,"('Neutral', {'neg': 0.094, 'neu': 0.575, 'pos': 0.331, 'compound': 0.9056})"
84,first game ok great . second way rated sling shot use bird kill pig ... rated,0,"('Neutral', {'neg': 0.204, 'neu': 0.522, 'pos': 0.274, 'compound': 0.1531})"
85,game rather ... retarded lack better word . would n't n't recommended anyone dont know anyone would bother .,0,"('Neutral', {'neg': 0.34, 'neu': 0.485, 'pos': 0.175, 'compound': -0.6202})"
86,game self good switch ad free original angry bird . n't like ad interfering game .,0,"('Neutral', {'neg': 0.236, 'neu': 0.393, 'pos': 0.371, 'compound': 0.4749})"
87,got thr upgrade soooooooooooooooooo . fun lille fish going tell much get free fun,1,"('Neutral', {'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.872})"
88,"hey 's angry bird , 's love ! easy use new kindle hd could spend hour angry dang bird stomping pig , first shot !",1,"('Neutral', {'neg': 0.211, 'neu': 0.543, 'pos': 0.246, 'compound': 0.2695})"
89,"ca n't believe hard try hit target still ca n't make , 's good laugh oneself game good",1,"('Neutral', {'neg': 0.212, 'neu': 0.572, 'pos': 0.216, 'compound': 0.0217})"
90,n't like .i think kid . really many game,0,"('Neutral', {'neg': 0.232, 'neu': 0.768, 'pos': 0.0, 'compound': -0.2755})"
91,"got end pre-installed version . confused , checked online see app missing entire level . one post suggested downloading newer version . crash moment start .",0,"('Neutral', {'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7351})"
92,hate say everything l got rid shut kindle stupid ! ! ! ! ! ! ! ! ! ! ? ? ? ? $ $ $ $ $ * & # 9733 ; & # 9733 ; * & # 9733 ;,0,"('Bad', {'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.8814})"
93,hat never liked sucked boring like rio one tho one good sucked,0,"('Good', {'neg': 0.113, 'neu': 0.291, 'pos': 0.597, 'compound': 0.8398})"
94,hear app everywhere . everyone smartphone tablet see people playing time . terrible app . played 3 level could n't stand anymore . hate apps like doodle jump many oth,0,"('Neutral', {'neg': 0.095, 'neu': 0.61, 'pos': 0.296, 'compound': 0.6806})"
95,"'ll admit , 'm late game getting wonderful game , boy hooked ! mindless way spend hour time . go back work ?",1,"('Neutral', {'neg': 0.122, 'neu': 0.633, 'pos': 0.244, 'compound': 0.4389})"
96,"love angry bird , issue ad supported game . real issue & # 34 ; ad supported game & # 34 ; constantly launch full screen ad last substantially longer level played . game ad fine , w",0,"('Neutral', {'neg': 0.088, 'neu': 0.559, 'pos': 0.353, 'compound': 0.8387})"
97,love game level never time enjoy far get another update make delete version progress it.now rarely play always play level over.why,0,"('Neutral', {'neg': 0.226, 'neu': 0.539, 'pos': 0.236, 'compound': 0.3182})"
98,see nothing wrong game busy n't think 's fun . shoot pig bird . 's alp .,0,"('Neutral', {'neg': 0.273, 'neu': 0.59, 'pos': 0.137, 'compound': -0.3711})"
99,n't great get hard really frustrating . would n't get . 'm sad spent money .,0,"('Neutral', {'neg': 0.335, 'neu': 0.465, 'pos': 0.199, 'compound': -0.5628})"
100,keep telling & quot ; payment method need u credit card & quot ; even though already ! ! ? really want play ! ! helppp,0,"('Neutral', {'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.7929})"
101,"tried play game , lost interest tried play . try !",0,"('Good', {'neg': 0.16, 'neu': 0.278, 'pos': 0.562, 'compound': 0.6996})"
102,'s ok n't type game could get deleted . someone told try 's downloaded first place .,0,"('Neutral', {'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296})"
103,"'ve played angry bird daughter tablet fun . free version introduced , thought dealing advertisement would affect enjoyment game . boy , wrong ! within 5 minute , removed app ! personally ,",0,"('Neutral', {'neg': 0.17, 'neu': 0.479, 'pos': 0.351, 'compound': 0.7772})"
104,wish icoulx.not give star rightnow ipod cnt download . saying credit free app,0,"('Neutral', {'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.8225})"
105,"look wonder girl . korea , trying make big usa english album & quot ; 2 different tear & quot ; teen nick movie , nobody give chance arent american . please support",1,"('Neutral', {'neg': 0.155, 'neu': 0.771, 'pos': 0.073, 'compound': -0.3004})"
106,"love game always play ! another need word , whats wrong love game ? good game ok ?",1,"('Good', {'neg': 0.112, 'neu': 0.289, 'pos': 0.599, 'compound': 0.9253})"
107,mighty eagle ! ! ! ! mighty eagle plush right right got last monday last week 's got dad said mighty eagle plush going come last tuesday came last monday came school sc,1,"('Neutral', {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0})"
108,everyone computer game expert game come instruction even start . n't like .,0,"('Neutral', {'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2755})"
109,omg fart :3 mean awsome ! ! ! ! ! ! ! ! ! u beleve love new update beacuse added power ups mostly love slingshot one make go faster,1,"('Neutral', {'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.9309})"
110,game stupid graphic primitive . want remove kindle . want game like popping star involve cerebral activity .,0,"('Neutral', {'neg': 0.174, 'neu': 0.564, 'pos': 0.262, 'compound': -0.0772})"
111,game fun first . would play like . would get hareder therefor would make game boring ! n't get angry bird space . wast money . everybody please take advice .,0,"('Neutral', {'neg': 0.066, 'neu': 0.546, 'pos': 0.388, 'compound': 0.8805})"
112,update power ai n't working . uninstalled 3 time still n't get update please fix,0,"('Neutral', {'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2411})"
113,"app worst ever used . level stressful bird seem moron miss target everytime . also ever shut apps made appmaker , constantly run kill battery .",0,"('Neutral', {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.9509})"
114,"app ok paid version still ad , different form . 's worse , 've uninstalled , amazon wo n't remove list , constant reminder never downloaded app .",0,"('Neutral', {'neg': 0.119, 'neu': 0.731, 'pos': 0.15, 'compound': -0.0516})"
115,game hard download.it would easier easier.but love game free .,0,"('Good', {'neg': 0.084, 'neu': 0.299, 'pos': 0.617, 'compound': 0.872})"
116,"stupidest game far , even grandkids like , thik paid money ugh .",0,"('Neutral', {'neg': 0.395, 'neu': 0.446, 'pos': 0.159, 'compound': -0.5719})"
117,"though would fun boring get old fast , challenge ca n't see whole buzz",0,"('Neutral', {'neg': 0.136, 'neu': 0.592, 'pos': 0.272, 'compound': 0.3182})"
118,technical . got upset removed unit favor game like .,0,"('Neutral', {'neg': 0.203, 'neu': 0.391, 'pos': 0.406, 'compound': 0.3818})"
119,"unless 7 year old , boring hard manuver application . game redundant",0,"('Neutral', {'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.4019})"
120,using bird kill plain sickmy 3 year old loved started & # 34 ; killing & # 34 ; thing play time,0,"('Neutral', {'neg': 0.345, 'neu': 0.417, 'pos': 0.239, 'compound': -0.5859})"
121,"love beloved angry bird character app get really old mean really old , fun first couple time everyone shirt youtube video , mean really terrible lasting appeal",0,"('Neutral', {'neg': 0.177, 'neu': 0.53, 'pos': 0.293, 'compound': 0.6581})"
122,"20 godless inbred bafoons giving game 1 star , probably score i. q. lol kidding , seriously great game , good pas time , kid love . good catapult castle game",1,"('Good', {'neg': 0.043, 'neu': 0.431, 'pos': 0.525, 'compound': 0.9584})"
123,"apps appear device n't choose ? stop 's annoying , 'm ready return kindle keep ! !",0,"('Neutral', {'neg': 0.153, 'neu': 0.566, 'pos': 0.281, 'compound': 0.312})"
124,"would n't load trio 4.3 & # 34 ; tablet . ca n't say hate like . perhaps 'll try later get dream tablet , 7 & # 34 ; samsung galaxy tab 3 .",0,"('Neutral', {'neg': 0.078, 'neu': 0.738, 'pos': 0.184, 'compound': 0.4382})"
125,angry bird boring knock pig bird flop stuff 's stupid .,0,"('Bad', {'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.886})"
126,cant install kindle fire file corupted witch b cant play game game need die . know b rovio fix please .,0,"('Neutral', {'neg': 0.341, 'neu': 0.484, 'pos': 0.175, 'compound': -0.6249})"
127,n't like game . ca n't see hipe . took `` kindle fire '' two wk.trial period .,0,"('Neutral', {'neg': 0.258, 'neu': 0.742, 'pos': 0.0, 'compound': -0.5439})"
128,n't like really boring game . probably wo n't play ever . buy sure ask lot word review .,0,"('Neutral', {'neg': 0.201, 'neu': 0.582, 'pos': 0.217, 'compound': 0.0856})"
129,free game added kindle christmas - deleted - alredy added . thanks,0,"('Neutral', {'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7351})"
130,.i n't get bird angry.i n't get everyone like . fun game .,0,"('Neutral', {'neg': 0.146, 'neu': 0.625, 'pos': 0.229, 'compound': 0.2937})"
131,dont like . stink . take much make stupid pig die . dont die quick enough . bird never go want go . frustrating sometimes want throw kindle across room . better rovio .,0,"('Neutral', {'neg': 0.446, 'neu': 0.43, 'pos': 0.123, 'compound': -0.9099})"
132,n't like say get either addicted n't life got almost nothing else sinking almost dead dead oh ya also like posting random review,0,"('Neutral', {'neg': 0.392, 'neu': 0.608, 'pos': 0.0, 'compound': -0.9049})"
133,"n't understand high review great love people game . 'm glad n't waste money 99 cent version would n't buy 5 cent . n't take thought skill n't entertainment value , ne",0,"('Neutral', {'neg': 0.109, 'neu': 0.55, 'pos': 0.341, 'compound': 0.8824})"
134,n't stand big deal game dad love brother like n't stand whatever,0,"('Neutral', {'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.7717})"
135,n't understand game popular . found silly boring . hype ?,0,"('Neutral', {'neg': 0.432, 'neu': 0.466, 'pos': 0.102, 'compound': -0.5472})"
136,doundt think fee use mighty ehgle rate zero star ......,0,"('Neutral', {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0})"
137,guess tell title 'm young . n't clue about.it 's relevant anything !,0,"('Neutral', {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0})"
138,hate app much stink deleted shoot ugly bird kill pig . really rovio ? ? ?,0,"('Bad', {'neg': 0.712, 'neu': 0.288, 'pos': 0.0, 'compound': -0.9541})"
139,"thought going best game ever boring . character really cute , 's thing . fling bird , try smash pig . maybe 's quirk , 's slow . take ten fifteen secon",0,"('Neutral', {'neg': 0.072, 'neu': 0.692, 'pos': 0.236, 'compound': 0.7346})"
140,"might seem fun first , awhile get totally boring.i got , kindle x-mas , first app.but , said ..... might seem fun first.worst app ever .",0,"('Neutral', {'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.765})"
141,"'s regular version , n't like use . perhaps angry bird afficionado like .",0,"('Neutral', {'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.7594})"
142,"ok first round presented challenge , id like able win couple round ... ?",0,"('Good', {'neg': 0.0, 'neu': 0.449, 'pos': 0.551, 'compound': 0.8316})"
143,used love game boring 3 year ago n't get ppl still game got ta make game exciting u defeate,0,"('Neutral', {'neg': 0.097, 'neu': 0.591, 'pos': 0.312, 'compound': 0.7269})"
144,ivv given news block story open sand box game like mine craft rpg twist great website lot people answer question .,0,"('Neutral', {'neg': 0.109, 'neu': 0.642, 'pos': 0.249, 'compound': 0.5719})"
145,mostly kid game get boring good game young kid teach aggressive angry,0,"('Neutral', {'neg': 0.398, 'neu': 0.442, 'pos': 0.16, 'compound': -0.5106})"
146,omb ! love game ! ! ! ! ! game get soooooo booooring like first two level ! wtf ? really everyone & quot ; excited & quot ; ? well n't know see game . boring .,0,"('Neutral', {'neg': 0.169, 'neu': 0.471, 'pos': 0.36, 'compound': 0.784})"
147,grandchild like keep busy grocery shopping n't get big rage .,0,"('Neutral', {'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.6623})"
148,app plain boring kill pig ( disappointed ) .what point app ? ? ? get app ! ! ! ! ! !,0,"('Bad', {'neg': 0.596, 'neu': 0.404, 'pos': 0.0, 'compound': -0.9154})"
149,tame soooooo boring . even though free good buy . : ( u fling bird @ building .,0,"('Neutral', {'neg': 0.139, 'neu': 0.485, 'pos': 0.376, 'compound': 0.5994})"
150,many pop ups trying play game ! ! ! frustrating trying play deal pop ups .,0,"('Neutral', {'neg': 0.165, 'neu': 0.512, 'pos': 0.323, 'compound': 0.4168})"
151,"turn wifi ad , , , , , , , , , , , , , , , ,",0,"('Neutral', {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0})"
